Agencia-Antidrogas	Washington	presionar,el,que,para
New-York-Times-«The-Long-War-Genaro-García-Luna»	Alejandro-Jiménez	el,universal,de,ingeniero
Revolucionario-Ins	Carlos-Hank-González	un,del,ex,poderoso
Güero-Palma-Salazar	Guadalupe-Leija	hacer,el,año,del,esposa
Luis-Astorga-UNESCO	México	en,un,evaluación,primero
Sandoval	Rolando-Eugenio-Hidalgo-Eddy	el,del,antecesor
Sandoval	Federico-Eduardo-Solórzano-Barragán	uno,el,de,subordinado,inmediato
Sandoval	Observaciones	y,el,entrevista,con
Sandoval	Mochomo	detención,el,para
Sandoval	Culiacán	el,en,alertas,mientras,les,estar,decir
Sandoval	Sinaloa	el,presión,todo,en
Triángulo-Durado	Chihuahua-Sinaloa	y,conocer,se,como
Acusación	Sedena	el,de,prensa
César-Iván-Archivaldo	Salazar-Hernández	hijo,el,tres,tener
AFI	Comoquiera	muchos,que,ser,mexicano
AFI	Érica	y,el,en
AFI	Antonio	y,el,en
Miguel-Ortiz-Maldonado	Sinaloa	de,hecho
Mazatlán-«Soldados	Sol	el,de,matar
Mazatlán-«Soldados	Sinaloa	el,de,matar
Juan-Daniel-Martínez	Acapulco	el,de,en,cadáver
Érica	Entrevistas	anónimo,agente,un,con
Érica	Antonio	el,en,esposa,de,y,noviazgo,año,con
Érica	Antonio-Garza	noche,un,muy,tarde
Cali-Medellín	Escobar	colombiano,de,sus,ser,conexión
Irak-Afganistán	Pakistán	y,ser
Carrillo	Ojinaga	fuente,cuando,ser,joven
Carrillo	México	fuente,también,desear,expandirse
Carrillo	Gortari	fuente,vincular,ser,incluso
Letra	Tuna	hijo,el,de
Sam-Dillon	New-York-Times-«Mexican	por,drug,reign
Sam-Dillon	New-York-Times-«U.S	por,drug,reign
Jo-Tuckman	Guardian-«El-Chapo	narcotice,king
Griselda	Alejandrina	y,esposa,sus
Badiraguato-Culiacán	Observaciones	y,residente,entrevista,con
Badiraguato-Culiacán	Entrevistas	y,funcionario,en,residente,con
Chihuahua	Guerrero	hasta,el,desde,plantación
Chihuahua	Aztecas	en,al,su,sur
Mica-Rosenberg	Reuters-«Guatemala-México	reuter,checks,dead,shootout
Marcos-Arturo-Alfredo	Héctor	el,hermano
Marcos-Arturo-Alfredo	Mario	el,hermano
Blanca	Bush	el,de,casa
Oklahoma	Georgia	dea,el,operar,que,afirmar
Oklahoma	California-Texas	dea,el,operar,que,afirmar
Manuel	Washington-Post-«From-Mexico	violence,drug
Guerrero	Entrevistas	y,general,con,soldado
Medina	Observaciones	autor,de,del
Medina	Mary-Anastasia-O'Grady	autor,de,del
Corona-Verbera	Woods	el,en,estar
Kristen-Paige	Balibar	de,un,afuera,llamar
«National-Drug-Threat-Assessment	Nacional	trascender,de,centro,contra,un,del,reporte
New-York-Times-«Songs	McKinley-Jr.	murder,love,silenced
Divi	Arellano-Félix	saron,el,hermano
Eduardo	Francisco-Arellano-Félix	el,en,universidad
Eduardo	Javier	el,hermano
Eduardo	Benjamín	el,hermano
Eduardo	Arellano-Félix	el,hermano
Agence-France-Presse-«Mexican	Associated-Press-«Mexico	soldiers,beheaded,honors
Tijuana…-Alfredo	Penetraron	el,de,en
Exteriores-Senado	Michael-Braun	ante,el,de
Exteriores-Senado	Andrew-A.-Reding	relación,declaración,del
Antonio-Express-News	Transcripciones	suspected,set,san
Antonio-Express-News	Golfo	suspected,set,san
Alexandra-Olson	Mexican	frees,50,inmates
Alexandra-Olson	Associated-Press-«Gang	frees,50,inmates
Sedena	Policía-Federal	y,pgx
Sedena	Trancas	inform,de,sobre,el
Javier	Benjamín	el,hermano
Javier	Arellano-Félix	el,de,uno,hermano
Sinaloa-«Emoción	Sol	el,de,en
Sinaloa-«Emoción	Badiraguato	el,de,en
Astorga-Amaral	Entrevistas	y,con
Astorga-Amaral	Ruiz	y,con
Transcripciones	Golfo	suspected,set,san
Tecomán	Calderón	discurso,en,del,presidente
Pie-Grande	Bigfoot	lo,apodar
Sinaloa-Durango	Entrevistas	y,residente,periodista,con
California-Texas	Georgia	dea,el,operar,que,afirmar
Leija	México	el,de,droga,en
Defensa-Nacional	Secretaría	mis,en,entrevista,con,soldado
Defensa-Nacional	Sinaloa	mis,en,entrevista,con,soldado
Pa	Loera	el,que,saber,quien
Francesc-Relea	País	el,del,dominio
Morelia-Michoacán	Habitantes	de,se
Estados-Unidos»	«La-Hank	representar,un,significativo,familia
Chicago	Vicente-Zambada-Niebla	en,corte,un
Sol	Badiraguato	el,de,en
Sol	Ramón-Arellano-Félix	el,de,un
Sol	Mazatlán-«Fue	el,de,un
Sol	Carnaval	el,de,un
Sol	Sinaloa	el,de,matar
Josué-Félix-Luis-Astorga	Entrevistas	y,con
Josué-Félix-Luis-Astorga	George-W.-Grayson-México	y,con
Velázquez	México	el,duodécimo,periodista,ser
Culiacán-Monterrey	Mexicali	ciudad,en,como
Culiacán-Monterrey	Torreón	ciudad,en,como
Pablo-Ledesma	Aztecas	el,de,miembro
Juan-José-Ríos-Estavillo	Entrevistas	humano,derecho
Badiraguato	Benito-Jiménez	por,con
Badiraguato	Badiraguato-Martín-Meza-Ortiz	funcionario,local
Badiraguato	Omar-Meza	con,encontré,treintañero
Badiraguato	Meza-Ortiz	el,alcalde
Badiraguato	Culiacán	tomar,el,autobús,yo,de,residente,haber,hablar
Badiraguato	Santiago	en,ocasión,otra
Badiraguato	Sinaloa	el,de,en,gomeros
Badiraguato	Entrevistas	en,realizadar,de,residente,autor,funcionario,del,por,y,autoridad,con
