Alberto-Bayardo-Robles	Juan-Enrique-Vascones-Hernández	detenido,el,discordante
Profe	Vicente-Castaño-Gil	de,contacto,esos,ser
Griselda	Al	término,de,misa,el
Cisen	Sedena	y,el,promuever,lo
Ibarra-Celis	César	solo,obstante,se,encargar
Chihuahua	Iván-Contreras-Keico	y,por
Chihuahua	Delgado	operador,el,en,principal
Chihuahua	Patricia-González-Rodríguez	exprocuradora,de
Distrito-Federal	Zambada-Niebla	en,capturar,ser
Édgar-Guzmán	José-Cruz	porque,hermano,morir
Édgar-Guzmán	María	estar,jesús,también,en
Janos	Ascensión-Puerto-Palomas	el,de,municipio
Canelas	Tamazula	de,colindar,al,municipio
Ismael	Cabrera	el,comisionado,ser,por
Fui	Lucas-Ortiz-Benito	el,becada
Francisco-Cárdenas-Luque	Víctor-Manuel-Mena-Solís	detenido,el
Nicaragua	Al	el,comentar,respecto,investigador
Núñez-Meza	Durango	el,en,junio,hermano
Bonifacio-Osorio-Quintero	Emilio	primo,ser
Comisión-Independiente	Leonel-Aguirre-Meza	el,de,presidente
Gómez-Farías-Nicolás	Zaragoza	en,mandar
Gómez-Farías-Nicolás	Aldo-Nájera	en,mandar
Bejos-Camacho	Pérez	peraltar,como,tanto
Aispuro	Tamazula	mamá,de,ser
Privada	Aquila	de,del,municipio
Privada	Habitantes	de,del,municipio
Máxima	Fragmentos	del,capítulo
Máxima	Zulema	del,capítulo
Máxima	Scherer-García	julio,en,su
Torres-Marrufo	Mexicles	pandilla,controlar,el
Angostura	Inés	el,en,se
Santa-Catarina	Guadalupe-Escobedo	otras,y,camellones,en,puente
PAN	Al	hijo,del,que,ser
PAN	Sinaloa	traer,un,desmadre,verdadero
Daniel-Leo-Pérez	Madera	nuevo,y,casa,grande
Acapulco-Guerrero	Torreblanca-Galindo	por,en,proceso
México	Calderón	el,en,ser,crítica,reiteradar
México	Al	el,en,compañía,parecer
México	Joaquín-Chapo-Guzmán	el,cuna,de,más,prominente
México	Cifuentes	el,en,compañía,parecer
México	Guzmán-Loera	el,según,además,fuente
Públicas	Instituto	nicaragüense,el,estudio,de
Públicas	Estratégicos	nicaragüense,el,estudio,de
Aquila	Habitantes	de,del,municipio
Washington	Calderón	el,de,visita,estado
Griselda-López	Alejandrina-María-Salazar-Hernández	el,antes,de
Gobernación-Enrique-Pérez	Secretaría	el,de
Subprocuraduría	Investigación	el,investigación,de,especializadar
Subprocuraduría	Delincuencia	el,investigación,de,especializadar
Volteé	Disculpe	y,le,decir,yo
Aldo-Nájera	Zaragoza	en,mandar
Tapachula-Chiapas	Policía-Judicial-Federal	en,un,impresionante
Fox	Semanas	de,que,después
Juan-Pablo	Castillo	lado,de,al,trabajar
Investigación	Delincuencia	el,investigación,de,especializadar
Investigación	Instituto	preguntar,le,también,al,consejero
Cologachi	Terrero	el,de,en,comunidad
Félix-Gallardo	Acapulco	aquella,en,ocasión
Estratégicos	Instituto	nicaragüense,el,estudio,de
—Cubi-Click-México-SA	CV	de,café
Arturo-Martínez-Herrera	Güero-Palma	complicidad,el,en,con
Guzmán	Al	y,juez,al,sacerdote
Guzmán	Sinaloa	y,juez,al,sacerdote
Guzmán	Obama	el,según,de,cálculo
Jorge-Milton-Cifuentes	Joaquín-Chapo-Guzmán-Loera	el,colombiano
Fragmentos	Zulema	del,capítulo
California	Sonora	y,ser,bajo
Nibardo-Villalobos-Patas-Cortas	Guachochi	cargo,de,estar
Tenayuca	Visité	el,en,señora
Tenayuca	Arbolillo	el,en,señora
Felipe-Leaños-Rivera	Moreno-Chávez	de,compañero
Jiménez	Parral	y,delicia
Jiménez	Evaristo-Rentería	y,delicia
CV	—Montray-SA	de,en,ubicadar
CV	Jaime-Nunó-1291-B-Chapultepec-Country	de,en,ubicadar
CV	—Le-Claude-SA	registradar,de
CV	Guadalajara-Jalisco	de,en,ubicadar
Al-Gertz-Manero	Guadalajara-Jorge-Tello-Peón	día,siguiente
Seguridad-Pública	Policía-Federal	el,de,cargo
Seguridad-Pública	Secretaría	el,entre,cargo,otras,de,versión,miembro,obtenidar
Almoloya-Puente-Grande	Scherer-García	y,nuevo,el
Parral	Evaristo-Rentería	y,delicia
Comunicación-Social	Viviana-Macías	de,prensa,subdirectora
Laffayette	Citaron	el,en,al,denunciante
Zetas	Guzmán-Loera	otros,de,plán
Ejército	Policía-Federal-Preventiva	y,el,que,recordar
The-New-York-Times	Calderón	preguntar,responder
Secretaría	Policía-Federal	el,de,cargo
Secretaría	Gobernación	pie,el,ataque,dar,desencuentros
Salvador	Guzmán-Loera	el,en,frontera,con
Ocampo-Guanaceví	Sinaloa	cártel,el,de,se
Zulema	Al	de,sus,calce,inicial
Excélsior	Scherer-García	1970,periódico,en,al,ingresar
Mexicles	Aztecas	el,de,función
Luis-Astorga	Guzmán-Loera	que,reconocer
Originarios	Sinaloa	de,mejor,escuela
—Montray-SA	Guadalajara-Jalisco	de,en,ubicadar
—Montray-SA	Jaime-Nunó-1291-B-Chapultepec-Country	de,en,ubicadar
Buscaglia	Sinaloa	el,añadir,cártel,de
Bartolo-Pineda-Medrano-Víctor-Manuel-Mena-Solís	Joaquín-Guzmán-Loera	el,de,guardaespaldas
Jefes	Jefe	el,de,deber
Felipe-Leaños	Joaquín-Guzmán-Loera	tal,lo,advertir,como,el
Jerónimo-Prigione	Vaticano	el,embajador,él,ellos,entre
Guadalajara-Jalisco	Jaime-Nunó-1291-B-Chapultepec-Country	de,en,ubicadar
Cifuentes	Al	el,en,compañía,parecer
Cifuentes	Elkin	también,conocer,villa,con
David-Córdoba-Tello	Policía-Federal	roso,el,de,comisionar
Sinaloa	César-Ibarra-Celis	viajar,e
Sinaloa	Al	y,juez,al,sacerdote
Sinaloa	Joaquín-Guzmán-Loera	jefe,del
Universidad	Stanford	preguntar,profesor,le,también,al
Tamazula	—El-Aispuro	de,origen,ser,apellido
Arturo-Beltrán-Leyva	Al	el,como
Arturo-Beltrán-Leyva	Ismael-Zambada-García	el,como
Marín	Fabián	sus,de,accionista,ser,uno
Obama	Osama-Bin-Laden	el,ser,para
Ismael-Zambada-García	Al	el,como
Gobernación	Ministerio	el,de,admitir
López-Pérez	Guzmán-Loera	el,ser,segundo
Visité	Arbolillo	el,en,señora
